8,Artesào de saberes,47,13,512.22,2017-08-23,2,portugues
9,Fundamentos de eletrônica,46,13,515.04,2016-09-05,3,portugues
25,Odontogeriatria,9,13,357.35,2017-02-24,2,portugues
38,Autos-de-fé como espetáculos de massa,36,13,463.27,2018-05-31,3,portugues
45,O texto estranho,72,13,511.84,2017-12-24,2,portugues
46,Citaçào e modernidade em Alvares de Azevedo,18,13,185.16,2017-06-18,2,portugues
49,Marx e a liberdade,8,13,45.62,2016-05-31,2,portugues
61,A nova obscuridade,47,13,411.06,2017-02-09,1,portugues
62,Curso de cunicultura.-,12,13,272.59,2015-12-08,1,portugues
69,A revoluçào do amor,67,13,290.22,2016-08-14,5,portugues
