"id","titulopincipal","titulooriginal","anolancamento","tempominutos","genero","notamedia","numerovotos","generoartista","personagem","nomeartista","anonascimento","anofalecimento","profissao","titulosmaisconhecidos"
"tt0462724","Loving Him","Ting bu liao de ai","2002","90","Romance","5.9","10","actress","Lu","Hailu Qin","1978","\N","actress,writer,director","tt1723118,tt11448076,tt0255327,tt3756920"
"tt0462724","Loving Him","Ting bu liao de ai","2002","90","Romance","5.9","10","actor","\N","Kam-Luen Cheng","\N","\N","actor","tt0341129,tt0462724"
"tt0462724","Loving Him","Ting bu liao de ai","2002","90","Romance","5.9","10","actress","\N","Audrey Fang","\N","\N","actress","tt0256087,tt0312932,tt0380069,tt0462724"
"tt0462724","Loving Him","Ting bu liao de ai","2002","90","Romance","5.9","10","actor","Tung","Daniel Hiu Tung Chan","1975","\N","actor,soundtrack,miscellaneous","tt0116576,tt4010858,tt0261125,tt5617626"
"tt0464660","Huayao Bride in Shangrila","Hua yao xin niang","2005","87","Romance","6.3","75","actress","Feng Mei","Jingchu Zhang","1980","\N","actress","tt0429078,tt0293564,tt0841150,tt2381249"
"tt0464660","Huayao Bride in Shangrila","Hua yao xin niang","2005","87","Romance","6.3","75","actor","A Long","Xiaotian Yin","1978","\N","actor","tt10218674,tt9085276,tt1599268,tt1669709"
"tt0464660","Huayao Bride in Shangrila","Hua yao xin niang","2005","87","Romance","6.3","75","actor","A Cong","Zheming Cui","\N","\N","actor","tt0464660"
"tt0464660","Huayao Bride in Shangrila","Hua yao xin niang","2005","87","Romance","6.3","75","actor","A Long's elder brother","Gu Gong","\N","\N","assistant_director","tt3980262,tt0464660"
"tt0464849","Yuvakudu","Yuvakudu","2000","145","Romance","7.0","128","actor","Shiva","Sumanth","1976","\N","actor","tt2063633,tt8651064,tt20850406,tt1552983"
"tt0464849","Yuvakudu","Yuvakudu","2000","145","Romance","7.0","128","actress","Sindhu","Bhoomika Chawla","1978","\N","actress,miscellaneous","tt0360797,tt20850406,tt0258490,tt0374271"
"tt0464849","Yuvakudu","Yuvakudu","2000","145","Romance","7.0","128","actress","Shiva's mom","Jayasudha","1958","\N","actress,producer","tt0251834,tt0374497,tt0187419,tt0257359"
"tt0464849","Yuvakudu","Yuvakudu","2000","145","Romance","7.0","128","actor","Satish","Venu Madhav","1968","2019","actor,music_department,soundtrack","tt0467003,tt0816258,tt0843328,tt0928121"
"tt0464990","Jaanam","Jaanam","1992","127","Romance","4.8","81","actor","Shankar Rao","Paresh Rawal","1950","\N","actor,producer,soundtrack","tt0319020,tt0242519,tt0371735,tt2283748"
"tt0464990","Jaanam","Jaanam","1992","127","Romance","4.8","81","actor","Arun S. Rao","Ashutosh Gowariker","1964","\N","actor,writer,producer","tt0367110,tt3859980,tt0169102,tt0449994"
"tt0464990","Jaanam","Jaanam","1992","127","Romance","4.8","81","actress","Anjali","Pooja Bhatt","1972","\N","actress,producer,director","tt0156985,tt0211126,tt0399942,tt0288427"
"tt0464990","Jaanam","Jaanam","1992","127","Romance","4.8","81","actor","Amar S. Rao","Rahul Roy","1968","\N","actor,producer","tt22082490,tt0464990,tt0156658,tt0149573"
"tt0464990","Jaanam","Jaanam","1992","127","Romance","4.8","81","actress","Kamla","Sulabha Arya","\N","\N","actress","tt0798761,tt0242519,tt0347304,tt0978642"
"tt0464995","Khel Mohabbat Ka","Khel Mohabbat Ka","1986","111","Romance","6.4","15","actor","Amit Verma","Farooq Shaikh","1948","2013","actor","tt1285245,tt2178470,tt6809196,tt0083248"
"tt0464995","Khel Mohabbat Ka","Khel Mohabbat Ka","1986","111","Romance","6.4","15","actress","LilyShyamoli","Poonam Dhillon","1962","\N","actress,music_department","tt0309926,tt0090958,tt3735944,tt0237587"
"tt0464995","Khel Mohabbat Ka","Khel Mohabbat Ka","1986","111","Romance","6.4","15","actor","Rehman Khan","Madan Puri","1915","1985","actor","tt0284456,tt0158534,tt0357926,tt0290585"
"tt0464995","Khel Mohabbat Ka","Khel Mohabbat Ka","1986","111","Romance","6.4","15","actor","Ranjeet","Shakti Kapoor","1952","\N","actor,music_department","tt0109117,tt0497915,tt0363567,tt0110942"
