id,titulopincipal,titulooriginal,anolancamento,tempominutos,genero,notamedia,numerovotos,generoartista,nomeartista,profissao
tt0462724,Loving Him,Ting bu liao de ai,2002,90,Romance,5.9,10,actress,Hailu Qin,"actress,writer,director"
tt0462724,Loving Him,Ting bu liao de ai,2002,90,Romance,5.9,10,actor,Kam-Luen Cheng,actor
tt0462724,Loving Him,Ting bu liao de ai,2002,90,Romance,5.9,10,actress,Audrey Fang,actress
tt0462724,Loving Him,Ting bu liao de ai,2002,90,Romance,5.9,10,actor,Daniel Hiu Tung Chan,"actor,soundtrack,miscellaneous"
tt0464660,Huayao Bride in Shangrila,Hua yao xin niang,2005,87,Romance,6.3,75,actress,Jingchu Zhang,actress
tt0464660,Huayao Bride in Shangrila,Hua yao xin niang,2005,87,Romance,6.3,75,actor,Xiaotian Yin,actor
tt0464660,Huayao Bride in Shangrila,Hua yao xin niang,2005,87,Romance,6.3,75,actor,Zheming Cui,actor
tt0464660,Huayao Bride in Shangrila,Hua yao xin niang,2005,87,Romance,6.3,75,actor,Gu Gong,assistant_director
tt0464849,Yuvakudu,Yuvakudu,2000,145,Romance,7.0,128,actor,Sumanth,actor
tt0464849,Yuvakudu,Yuvakudu,2000,145,Romance,7.0,128,actress,Bhoomika Chawla,"actress,miscellaneous"
tt0464849,Yuvakudu,Yuvakudu,2000,145,Romance,7.0,128,actress,Jayasudha,"actress,producer"
tt0464849,Yuvakudu,Yuvakudu,2000,145,Romance,7.0,128,actor,Venu Madhav,"actor,music_department,soundtrack"
tt0464990,Jaanam,Jaanam,1992,127,Romance,4.8,81,actor,Paresh Rawal,"actor,producer,soundtrack"
tt0464990,Jaanam,Jaanam,1992,127,Romance,4.8,81,actor,Ashutosh Gowariker,"actor,writer,producer"
tt0464990,Jaanam,Jaanam,1992,127,Romance,4.8,81,actress,Pooja Bhatt,"actress,producer,director"
tt0464990,Jaanam,Jaanam,1992,127,Romance,4.8,81,actor,Rahul Roy,"actor,producer"
tt0464990,Jaanam,Jaanam,1992,127,Romance,4.8,81,actress,Sulabha Arya,actress
tt0464995,Khel Mohabbat Ka,Khel Mohabbat Ka,1986,111,Romance,6.4,15,actor,Farooq Shaikh,actor
tt0464995,Khel Mohabbat Ka,Khel Mohabbat Ka,1986,111,Romance,6.4,15,actress,Poonam Dhillon,"actress,music_department"
tt0464995,Khel Mohabbat Ka,Khel Mohabbat Ka,1986,111,Romance,6.4,15,actor,Madan Puri,actor
tt0464995,Khel Mohabbat Ka,Khel Mohabbat Ka,1986,111,Romance,6.4,15,actor,Shakti Kapoor,"actor,music_department"
tt0466019,Hindi magbabago,Hindi magbabago,1994,112,Romance,9.2,23,actress,Maricel Laxa,actress
tt0466019,Hindi magbabago,Hindi magbabago,1994,112,Romance,9.2,23,actor,John Estrada,"actor,soundtrack"
tt0466019,Hindi magbabago,Hindi magbabago,1994,112,Romance,9.2,23,actress,Carmina Villaroel,actress
