id,titulopincipal,titulooriginal,anolancamento,tempominutos,genero,notamedia,numerovotos
tt0462724,Loving Him,Ting bu liao de ai,2002,90,Romance,5.9,10
tt0462724,Loving Him,Ting bu liao de ai,2002,90,Romance,5.9,10
tt0462724,Loving Him,Ting bu liao de ai,2002,90,Romance,5.9,10
tt0462724,Loving Him,Ting bu liao de ai,2002,90,Romance,5.9,10
tt0464660,Huayao Bride in Shangrila,Hua yao xin niang,2005,87,Romance,6.3,75
tt0464660,Huayao Bride in Shangrila,Hua yao xin niang,2005,87,Romance,6.3,75
tt0464660,Huayao Bride in Shangrila,Hua yao xin niang,2005,87,Romance,6.3,75
tt0464660,Huayao Bride in Shangrila,Hua yao xin niang,2005,87,Romance,6.3,75
tt0464849,Yuvakudu,Yuvakudu,2000,145,Romance,7.0,128
tt0464849,Yuvakudu,Yuvakudu,2000,145,Romance,7.0,128
tt0464849,Yuvakudu,Yuvakudu,2000,145,Romance,7.0,128
tt0464849,Yuvakudu,Yuvakudu,2000,145,Romance,7.0,128
tt0464990,Jaanam,Jaanam,1992,127,Romance,4.8,81
tt0464990,Jaanam,Jaanam,1992,127,Romance,4.8,81
tt0464990,Jaanam,Jaanam,1992,127,Romance,4.8,81
tt0464990,Jaanam,Jaanam,1992,127,Romance,4.8,81
tt0464990,Jaanam,Jaanam,1992,127,Romance,4.8,81
tt0464995,Khel Mohabbat Ka,Khel Mohabbat Ka,1986,111,Romance,6.4,15
tt0464995,Khel Mohabbat Ka,Khel Mohabbat Ka,1986,111,Romance,6.4,15
tt0464995,Khel Mohabbat Ka,Khel Mohabbat Ka,1986,111,Romance,6.4,15
tt0464995,Khel Mohabbat Ka,Khel Mohabbat Ka,1986,111,Romance,6.4,15
tt0466019,Hindi magbabago,Hindi magbabago,1994,112,Romance,9.2,23
tt0466019,Hindi magbabago,Hindi magbabago,1994,112,Romance,9.2,23
tt0466019,Hindi magbabago,Hindi magbabago,1994,112,Romance,9.2,23
tt0466019,Hindi magbabago,Hindi magbabago,1994,112,Romance,9.2,23
tt0466367,Chand Sa Roshan Chehra,Chand Sa Roshan Chehra,2005,120,Romance,4.8,67
tt0466367,Chand Sa Roshan Chehra,Chand Sa Roshan Chehra,2005,120,Romance,4.8,67
tt0466367,Chand Sa Roshan Chehra,Chand Sa Roshan Chehra,2005,120,Romance,4.8,67
tt0466367,Chand Sa Roshan Chehra,Chand Sa Roshan Chehra,2005,120,Romance,4.8,67
tt0466367,Chand Sa Roshan Chehra,Chand Sa Roshan Chehra,2005,120,Romance,4.8,67
tt0466901,Naa Alludu,Naa Alludu,2005,\N,Romance,3.3,516
tt0466901,Naa Alludu,Naa Alludu,2005,\N,Romance,3.3,516
